nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;inicop;potfis;idemp;lat;long;estag
Salesópolis;Cobuccio Energia Ltda.;Salesópolis;SP;;;Rio Tietê;1000,00000000;30/10/2023;09/12/2008;1000,00000000;2570;-23,56333333;-45,83638889;Operação
Votorantim;Companhia Brasileira de Alumínio;Votorantim;SP;;;Rio Sorocaba;3000,00000000;30/10/2023;01/01/1912;3000,00000000;3048;-23,55182125;-47,44179796;Operação
Santa Adélia;Companhia Energética Tatuí Ltda.;Boituva;SP;Tatuí;SP;Rio Sorocaba;1000,00000000;30/10/2023;01/05/2006;1000,00000000;28186;-23,32752983;-47,76887252;Operação
Boa Vista;Santa Cruz Geração de Energia S.A.;Sarutaiá;SP;;;Ribeirão Boa Vista;640,00000000;30/10/2023;01/01/1913;640,00000000;29628;-23,23478167;-49,46277830;Operação
Quilombo I;ZX Renováveis Ltda.;Itupeva;SP;;;Rio Jundiaí;2900,00000000;30/10/2023;00000000;0,00000000;52023;-23,13840833;-47,10336945;Cancelado
Monte Serrat;ZX Renováveis Ltda.;Itupeva;SP;;;Rio Jundiaí;1300,00000000;30/10/2023;00000000;0,00000000;27190;-23,13916667;-47,08833333;Cancelado
Quilombo I;;Itupeva;SP;;;Rio Jundiaí;2500,00000000;30/10/2023;00000000;0,00000000;0;-23,13472222;-47,11222222;Eixo Disponível
Rio Novo;Santa Cruz Geração de Energia S.A.;Avaré;SP;;;Rio Novo;974,43000000;30/10/2023;01/01/1909;974,43000000;2428;-22,95805556;-48,97833333;Operação
Salto do Lobo;Companhia Energética Salto do Lobo Ltda.;Botucatu;SP;Itatinga;SP;Rio Pardo;1616,00000000;30/10/2023;24/04/2002;1616,00000000;28585;-22,95380479;-48,73788247;Operação
Salto Grande;Jayaditya Empreendimentos e Participações Ltda.;Itatiba;SP;;;Rio Atibaia;4550,40000000;30/10/2023;20/01/1912;4550,40000000;27172;-22,93388889;-46,89583333;Operação
Pari;Quatiara Energia S.A.;Cândido Mota;SP;Palmital;SP;Rio Pari;1344,00000000;30/10/2023;10/04/1937;1344,00000000;1988;-22,88166667;-50,33083333;Operação
Bocaina I;Bracuhy Agricultura e Energia Ltda.;Bananal;SP;;;Rio Paca Grande;450,00000000;30/10/2023;27/04/1978;450,00000000;31266;-22,81183955;-44,45159368;Operação
Hidrogerador Quântico;Luxray Tecnologia Ltda.;Pindamonhangaba;SP;;;Rio Tetequera ou Grande;1225,00000000;30/10/2023;30/03/2016;1225,00000000;35587;-22,75361111;-45,44722222;Operação
Central GH Engenheiro Bernardo Figueiredo;Monte Azul Empreendimentos Imobiliários e Geração de Energia Ltda.;Pedreira;SP;;;Rio Jaguari;1,69000000;30/10/2023;20/10/1950;1,69000000;884;-22,74007450;-46,93738473;Operação
Cachoeira Paulista;CGH Cachoeira Paulista S.A.;Cachoeira Paulista;SP;Silveiras;SP;Rio Bravo;1000,00000000;30/10/2023;10/03/1976;1000,00000000;27476;-22,72972222;-44,91527778;Cancelado
Isabel;SZO Empreendimentos Ltda - ME;Pindamonhangaba;SP;;;Rio Sacatrapo;3168,00000000;30/10/2023;01/05/1915;3168,00000000;1148;-22,72751310;-45,45211587;Operação
Museu da Água;Lar dos Velhinhos de Piracicaba;Piracicaba;SP;;;Rio Piracicaba;386,00000000;30/10/2023;01/08/2007;386,00000000;29757;-22,71712663;-47,65275227;Operação
Capitão Mor;Usina Capitão Mor Energia Ltda.;Arapeí;SP;;;Rio Capitão Mor;288,00000000;30/10/2023;05/12/1961;288,00000000;30861;-22,70323750;-44,46364972;Operação
Santa Tereza;Companhia Industrial de Bebidas São Paulo;Amparo;SP;Pedreira;SP;Rio Camanducaia;588,00000000;30/10/2023;01/01/1951;588,00000000;28330;-22,69770715;-46,91128170;Operação
Funil;;Amparo;SP;;;Camanducaia;900,00000000;30/10/2023;00000000;0,00000000;0;-22,69250000;-46,85444444;Eixo Disponível
Sodré;Construtora Kamilos Ltda.;Guaratinguetá;SP;;;Rio Piagui;1012,00000000;30/10/2023;01/04/2013;1012,00000000;31099;-22,66444444;-45,30916667;Operação
Ribeirão do Pinhal;Companhia Energética Salto do Lobo Ltda.;Limeira;SP;Cosmópolis;SP;Ribeirão do Pinhal;1200,00000000;30/10/2023;15/07/2003;1200,00000000;2238;-22,66029788;-47,27800741;Operação
Ester;Usina Açucareira Ester S.A.;Cosmópolis;SP;;;Ribeirão Pirapitingui;747,00000000;30/10/2023;15/01/1901;747,00000000;23;-22,65679098;-47,20384721;Cancelado
Marmelos III;Mineração Corrêa Ltda.;Campos do Jordão;SP;;;Rio Sapucaí;360,00000000;30/10/2023;20/06/1998;360,00000000;28341;-22,63194792;-45,48780925;Operação
Peixe;Ágape Participações Ltda.;Socorro;SP;;;Rio do Peixe;1000,00000000;30/10/2023;05/03/2011;1000,00000000;30243;-22,60833333;-46,44166667;Operação
Lençóis;Chimay Empreendimentos e Participações Ltda;Macatuba;SP;Igaraçu do Tietê;SP;Rio Lençóis;1680,00000000;30/10/2023;01/01/1917;1680,00000000;1322;-22,52694444;-48,64861111;Operação
Corumbataí;Cobuccio Energia Ltda.;Rio Claro;SP;;;Rio Corumbataí;1700,00000000;30/10/2023;07/08/2008;1700,00000000;868;-22,48054828;-47,59218213;Operação
Jacaré Pepira;Água Paulista Geração de Energia Ltda.;Brotas;SP;;;Jacaré Pepira;2000,00000000;30/10/2023;26/06/2010;2000,00000000;29296;-22,42500000;-48,02000000;Operação
